delivery_id,date,city,route_id,driver_id,vehicle_id,planned_minutes,actual_minutes,on_time,distance_km,fuel_cost,other_cost
DLV0000001,3/3/2025,Abuja,RTE190,D038,V001,204,225,0,141,151.89,14.8
DLV0000002,5/4/2025,Lagos,RTE120,D060,V042,196,203,1,35.8,32.79,4.94
DLV0000003,3/13/2025,Abuja,RTE065,D078,V032,166,176,1,100.3,46.31,2.84
DLV0000004,4/29/2025,Abuja,RTE027,D141,V034,86,90,1,23.8,26.39,5.58
DLV0000005,6/21/2025,Ibadan,RTE178,D143,V080,177,189,0,113.8,101.72,0.36
DLV0000006,2/4/2025,Lagos,RTE042,D063,V016,32,38,1,4.2,4.38,4.59
DLV0000007,5/9/2025,Ibadan,RTE145,D088,V061,230,216,1,27.4,21.07,6.22
DLV0000008,6/4/2025,PHC,RTE026,D120,V088,102,92,1,140.5,111.27,8.47
DLV0000009,1/3/2025,Kano,RTE149,D059,V043,219,215,1,118.3,89.81,13.89
DLV0000010,5/19/2025,Kano,RTE072,D082,V035,181,207,0,49.4,58.97,7.86
DLV0000011,2/9/2025,Ibadan,RTE061,D136,V043,221,250,0,95.8,94.71,1.91
DLV0000012,1/24/2025,PHC,RTE095,D051,V045,72,93,0,60.9,47.56,8.64
DLV0000013,2/18/2025,Lagos,RTE038,D066,V019,110,114,1,142.9,146.38,10.67
DLV0000014,6/12/2025,Ibadan,RTE175,D121,V040,191,207,0,64.1,38.97,3.16
DLV0000015,1/16/2025,Ibadan,RTE126,D105,V056,65,13,1,88.6,66.08,13.95
DLV0000016,2/9/2025,Ibadan,RTE052,D097,V062,72,45,1,99.4,85.2,12.35
DLV0000017,4/12/2025,Lagos,RTE125,D137,V085,185,174,1,48.9,28.36,0.64
DLV0000018,3/16/2025,Abuja,RTE097,D086,V062,103,92,1,53.9,25.85,6.9
DLV0000019,4/13/2025,Abuja,RTE130,D007,V033,123,108,1,103.2,109.77,2.26
DLV0000020,6/2/2025,Ibadan,RTE093,D087,V035,144,175,0,27.6,25.56,12
DLV0000021,4/1/2025,Abuja,RTE084,D110,V070,60,92,0,28.5,31.43,11.89
DLV0000022,4/1/2025,PHC,RTE152,D147,V097,150,148,1,18.5,18.61,7.44
DLV0000023,5/31/2025,Kano,RTE041,D022,V045,84,59,1,135.3,116.35,8.69
DLV0000024,6/16/2025,PHC,RTE045,D117,V055,35,17,1,85.3,70.87,5.61
DLV0000025,6/1/2025,Abuja,RTE022,D098,V076,197,171,1,92.6,91.22,14.3
DLV0000026,1/24/2025,Abuja,RTE097,D072,V092,53,51,1,142.8,58.19,0.5
DLV0000027,6/20/2025,Lagos,RTE173,D047,V044,185,188,1,116.8,127.23,4.11
DLV0000028,6/7/2025,Lagos,RTE057,D120,V051,230,228,1,5.7,5.97,11.61
DLV0000029,2/26/2025,PHC,RTE150,D148,V061,68,34,1,136.7,160.68,13.34
DLV0000030,2/23/2025,Abuja,RTE041,D081,V097,167,119,1,31.8,37.57,12.41
DLV0000031,3/22/2025,Ibadan,RTE122,D015,V014,94,78,1,110.1,115.6,11.62
DLV0000032,3/25/2025,Lagos,RTE096,D002,V028,21,20,1,11.3,7.89,10.11
DLV0000033,2/13/2025,Ibadan,RTE006,D037,V080,218,170,1,85.3,83.05,7.77
DLV0000034,4/5/2025,Abuja,RTE115,D104,V049,48,23,1,134,73.82,7.18
DLV0000035,5/27/2025,Kano,RTE043,D070,V033,154,159,1,123.3,100.8,5.42
DLV0000036,5/4/2025,Abuja,RTE026,D053,V033,28,12,1,26.4,16.25,7.53
DLV0000037,6/27/2025,Kano,RTE195,D033,V023,224,205,1,61,34.37,8.28
DLV0000038,1/11/2025,PHC,RTE005,D115,V015,143,95,1,135.1,60.06,8.86
DLV0000039,4/18/2025,Lagos,RTE040,D042,V043,92,85,1,87.2,35.89,7.36
DLV0000040,6/2/2025,Lagos,RTE129,D142,V049,235,182,1,126.5,117.58,4.06
DLV0000041,1/19/2025,PHC,RTE131,D032,V025,156,151,1,56,55.46,5.69
DLV0000042,2/11/2025,Lagos,RTE099,D074,V005,189,202,0,84.1,58.61,4.64
DLV0000043,4/3/2025,Kano,RTE001,D020,V051,234,198,1,35.6,32.7,11
DLV0000044,6/13/2025,Abuja,RTE159,D040,V036,33,46,0,142.7,96.53,10.71
DLV0000045,1/12/2025,Kano,RTE015,D109,V021,238,233,1,21.8,11.38,6.84
DLV0000046,4/15/2025,PHC,RTE195,D115,V088,192,183,1,140.9,106.51,13.37
DLV0000047,1/10/2025,Abuja,RTE181,D087,V038,204,177,1,40.2,45.04,0.48
DLV0000048,3/9/2025,Lagos,RTE116,D002,V081,202,152,1,83.1,98.24,13.98
DLV0000049,3/18/2025,Lagos,RTE141,D091,V092,217,224,1,117.5,102.4,3.09
DLV0000050,5/19/2025,Kano,RTE094,D091,V060,132,193,0,101.6,53.88,5.3
DLV0000051,2/27/2025,Abuja,RTE066,D076,V001,113,130,0,65.4,33.74,12.15
DLV0000052,1/11/2025,PHC,RTE192,D026,V070,173,155,1,119.7,98.29,13.66
DLV0000053,4/29/2025,Ibadan,RTE180,D084,V095,140,119,1,44.6,25.43,3.52
DLV0000054,2/13/2025,Kano,RTE084,D128,V078,208,248,0,5.5,3.95,13.38
DLV0000055,6/16/2025,Lagos,RTE108,D047,V062,208,209,1,50.1,37.18,4.79
DLV0000056,5/2/2025,Abuja,RTE047,D006,V023,126,100,1,130.1,145.99,0.01
DLV0000057,3/4/2025,Lagos,RTE011,D118,V083,51,52,1,117.8,120.67,1.56
DLV0000058,6/9/2025,PHC,RTE021,D093,V048,180,144,1,55.4,26.28,2.31
DLV0000059,3/22/2025,PHC,RTE022,D003,V098,226,242,0,141.9,69.59,5.84
DLV0000060,2/10/2025,Kano,RTE130,D141,V050,167,137,1,9.5,9.81,0.01
DLV0000061,6/24/2025,Lagos,RTE151,D058,V020,147,162,0,6.3,5.57,3.79
DLV0000062,5/16/2025,Lagos,RTE048,D037,V024,79,113,0,108.3,73.41,11.09
DLV0000063,2/12/2025,Lagos,RTE163,D100,V055,128,112,1,135,63.92,6.84
DLV0000064,3/24/2025,Lagos,RTE007,D110,V040,147,128,1,73.4,69.06,9.27
DLV0000065,5/21/2025,Ibadan,RTE091,D066,V085,202,168,1,44.2,31.8,2.22
DLV0000066,2/28/2025,PHC,RTE150,D014,V098,56,99,0,46.9,54.25,0.41
DLV0000067,3/28/2025,Kano,RTE160,D052,V061,29,31,1,47.8,53.61,3.7
DLV0000068,4/24/2025,Abuja,RTE037,D030,V074,177,210,0,23.2,23.08,5.84
DLV0000069,5/31/2025,PHC,RTE194,D060,V036,215,224,1,125.2,69.03,9.73
DLV0000070,5/10/2025,Lagos,RTE002,D015,V086,237,260,0,132.2,56.48,6.11
DLV0000071,3/29/2025,Abuja,RTE041,D014,V029,59,51,1,77.5,77.09,14.38
DLV0000072,1/26/2025,Ibadan,RTE097,D065,V092,180,110,1,44.8,27.14,2.51
DLV0000073,6/19/2025,Kano,RTE169,D084,V083,191,204,0,115.3,64.75,9.02
DLV0000074,4/2/2025,PHC,RTE188,D125,V034,43,5,1,125.1,53.51,0.07
DLV0000075,6/2/2025,PHC,RTE167,D051,V085,97,86,1,2.7,1.96,9.84
DLV0000076,6/21/2025,Ibadan,RTE142,D140,V015,83,90,1,98,49.29,3.05
DLV0000077,3/5/2025,Ibadan,RTE144,D098,V052,214,177,1,125,110.71,3.17
DLV0000078,6/4/2025,Ibadan,RTE023,D027,V009,113,83,1,109,56.32,14.22
DLV0000079,6/28/2025,Kano,RTE130,D049,V083,129,83,1,31.5,36.27,0.89
DLV0000080,1/5/2025,Kano,RTE132,D096,V007,232,182,1,5.2,3.88,4
DLV0000081,2/12/2025,Kano,RTE149,D024,V014,207,250,0,123,89.45,3.42
DLV0000082,6/8/2025,Lagos,RTE111,D037,V051,40,86,0,143,72.12,11.49
DLV0000083,3/7/2025,Ibadan,RTE087,D051,V035,106,89,1,43.1,18.86,0.33
DLV0000084,3/2/2025,Ibadan,RTE093,D084,V012,27,31,1,45.9,30.84,7.96
DLV0000085,5/24/2025,Kano,RTE015,D057,V040,95,58,1,53.8,60.94,12.15
DLV0000086,2/26/2025,Kano,RTE058,D116,V003,84,82,1,39.8,38.64,2.36
DLV0000087,2/19/2025,Lagos,RTE200,D095,V067,154,202,0,136.1,154.61,2.03
DLV0000088,5/8/2025,Abuja,RTE102,D014,V018,206,192,1,114,128.05,0.99
DLV0000089,5/24/2025,Ibadan,RTE138,D045,V004,34,6,1,58.9,39.9,12.53
DLV0000090,2/12/2025,Ibadan,RTE145,D025,V044,51,72,0,30.2,21.97,2.03
DLV0000091,2/22/2025,Abuja,RTE169,D026,V092,65,108,0,60.4,34,8.92
DLV0000092,5/30/2025,Kano,RTE055,D061,V054,188,162,1,52.4,29.02,13.84
DLV0000093,6/23/2025,Ibadan,RTE011,D117,V062,80,93,0,135.4,77.09,0.02
DLV0000094,6/1/2025,PHC,RTE193,D067,V032,178,183,1,115.7,96.8,2.91
DLV0000095,5/21/2025,Lagos,RTE118,D115,V060,238,191,1,57.4,46.81,0.56
DLV0000096,5/19/2025,Ibadan,RTE119,D109,V047,135,86,1,74.2,88.6,5.62
DLV0000097,6/16/2025,Lagos,RTE182,D121,V036,89,82,1,49,46.82,8.07
DLV0000098,3/12/2025,Ibadan,RTE061,D085,V084,173,142,1,124.1,104.57,9.65
DLV0000099,6/22/2025,Kano,RTE005,D050,V025,143,162,0,2.3,1.93,7.16
DLV0000100,4/30/2025,Ibadan,RTE166,D083,V094,112,118,1,34.2,24.95,12.4
DLV0000101,2/2/2025,PHC,RTE180,D112,V033,131,144,0,75.9,39.13,14.67
DLV0000102,4/21/2025,PHC,RTE056,D009,V055,69,57,1,115,92.37,3.84
DLV0000103,4/22/2025,Kano,RTE088,D096,V046,161,159,1,127.7,63.62,12.65
DLV0000104,2/24/2025,Abuja,RTE097,D123,V025,186,163,1,31.4,13.62,4.3
DLV0000105,3/18/2025,Kano,RTE136,D042,V034,214,170,1,39.5,40.57,13.55
DLV0000106,1/31/2025,Abuja,RTE196,D020,V080,77,26,1,131.6,136.03,13.37
DLV0000107,1/21/2025,Ibadan,RTE197,D115,V012,31,52,0,100.4,55.73,12.84
DLV0000108,5/4/2025,Ibadan,RTE164,D008,V042,46,20,1,47.9,54.91,13.91
DLV0000109,2/1/2025,Abuja,RTE030,D061,V029,98,68,1,14.7,9.26,10.28
DLV0000110,1/23/2025,Lagos,RTE020,D027,V032,128,135,1,114.4,92.42,4.62
DLV0000111,4/11/2025,PHC,RTE132,D119,V098,210,198,1,138.5,157,9.54
DLV0000112,2/16/2025,Kano,RTE198,D136,V100,220,253,0,141.8,66.32,3.85
DLV0000113,4/25/2025,Kano,RTE123,D062,V009,91,75,1,51.9,29.8,6.53
DLV0000114,5/31/2025,PHC,RTE079,D053,V089,134,131,1,136.9,70.39,14.28
DLV0000115,4/16/2025,Kano,RTE006,D022,V079,233,235,1,78.8,50.39,0.73
DLV0000116,3/2/2025,PHC,RTE108,D042,V004,106,83,1,104.4,65.66,12.86
DLV0000117,2/5/2025,Kano,RTE002,D128,V090,173,153,1,6.5,7.69,1.76
DLV0000118,2/5/2025,Lagos,RTE052,D026,V082,161,141,1,149.8,169.86,14.36
DLV0000119,6/8/2025,PHC,RTE079,D034,V020,60,5,1,17.7,9.2,4.64
DLV0000120,2/12/2025,Kano,RTE051,D075,V077,170,193,0,111.2,86.5,1.17
DLV0000121,5/11/2025,Kano,RTE069,D043,V085,188,183,1,65.3,38.99,14.41
DLV0000122,3/23/2025,Lagos,RTE093,D071,V056,222,257,0,68,30.92,12.06
DLV0000123,1/26/2025,Abuja,RTE037,D123,V095,86,86,1,62.6,32.27,6.56
DLV0000124,3/27/2025,Kano,RTE109,D145,V078,113,170,0,147,149.15,7.53
DLV0000125,1/19/2025,Kano,RTE044,D056,V056,182,183,1,21,21.02,4.35
DLV0000126,4/6/2025,PHC,RTE179,D020,V056,55,41,1,58.6,66.02,4.39
DLV0000127,4/9/2025,Abuja,RTE074,D126,V044,24,5,1,22.9,15.76,10.85
DLV0000128,5/7/2025,Abuja,RTE187,D045,V018,68,45,1,114.9,66.38,0.04
DLV0000129,4/20/2025,Ibadan,RTE064,D113,V071,213,203,1,115.5,89.77,12.57
DLV0000130,6/23/2025,PHC,RTE165,D085,V041,225,164,1,109.4,100.57,8.35
DLV0000131,3/31/2025,Kano,RTE118,D017,V036,81,110,0,88.5,57.99,10.35
DLV0000132,2/10/2025,Lagos,RTE061,D132,V096,82,105,0,3.9,3.75,14.92
DLV0000133,3/15/2025,Abuja,RTE060,D047,V006,123,114,1,27.5,13.56,6.02
DLV0000134,2/12/2025,PHC,RTE190,D145,V051,108,112,1,125.8,97.87,7.97
DLV0000135,4/28/2025,Ibadan,RTE072,D064,V002,71,89,0,105.3,70.27,8.68
DLV0000136,1/26/2025,PHC,RTE023,D144,V093,146,137,1,116.7,50.22,7.72
DLV0000137,3/21/2025,Abuja,RTE178,D031,V035,225,213,1,50.2,28.06,13.42
DLV0000138,4/14/2025,Abuja,RTE178,D043,V065,36,97,0,80.7,59,0.2
DLV0000139,1/26/2025,Abuja,RTE126,D137,V071,32,10,1,141,88.1,13.68
DLV0000140,1/2/2025,Ibadan,RTE166,D004,V029,103,105,1,114.6,48.11,13.01
DLV0000141,5/26/2025,Lagos,RTE012,D135,V044,192,223,0,112.8,65.31,7.7
DLV0000142,5/9/2025,Ibadan,RTE020,D059,V082,72,94,0,149.9,165.75,2.35
DLV0000143,3/23/2025,Ibadan,RTE008,D113,V045,41,5,1,38.5,45.76,10.78
DLV0000144,5/17/2025,Kano,RTE045,D149,V044,238,238,1,109.8,65.96,13.78
